RecordID,Date,StateID,SectorID,SourceID,Consumption_kWh
213,2024-03-01,3,1,1,39193.72
214,2024-03-01,1,2,2,43735.7
215,2024-03-01,2,1,2,60933.53
216,2024-03-01,2,1,1,17107.15
217,2024-04-01,4,1,2,92154.61
218,2024-04-01,2,1,2,67411.42
219,2024-04-01,4,2,1,90901.77
220,2024-04-01,4,2,1,16647.57
221,2024-04-01,3,2,2,72128.22
222,2024-04-01,4,2,1,99943.62
223,2024-04-01,4,1,1,44322.79
224,2024-04-01,3,2,2,11974.56
225,2024-05-01,4,2,1,60933.61
226,2024-05-01,1,2,2,79816.69
227,2024-05-01,2,2,1,67295.61
228,2024-05-01,3,1,1,91306.33
229,2024-05-01,1,2,2,13002.81
230,2024-05-01,3,1,1,91866.5
231,2024-05-01,3,2,1,28071.53
232,2024-05-01,3,2,1,33127.31
233,2024-06-01,4,2,2,82380.93
234,2024-06-01,4,1,1,77873.63
235,2024-06-01,2,2,2,18127.26
236,2024-06-01,4,1,2,58291.51
237,2024-06-01,4,2,2,62610.41
238,2024-06-01,3,1,1,52432.92
239,2024-06-01,3,1,1,67186.35
240,2024-06-01,4,2,2,20500.83
241,2024-07-01,1,1,2,99633.46
242,2024-07-01,1,1,1,89853.34
243,2024-07-01,2,2,2,43391.04
244,2024-07-01,4,1,2,68942.97
245,2024-07-01,4,2,2,12944.47
246,2024-07-01,3,1,2,50022.63
247,2024-07-01,2,2,1,98283.49
248,2024-07-01,3,2,1,45832.57
249,2024-08-01,2,1,2,18250.61
250,2024-08-01,2,1,1,80811.51
251,2024-08-01,2,1,1,16174.91
252,2024-08-01,2,1,1,39570.36
253,2024-08-01,2,1,2,87256.55
254,2024-08-01,2,1,2,81866.24
255,2024-08-01,1,1,1,11337.43
256,2024-08-01,2,2,1,25682.16
257,2024-09-01,1,1,2,57347.7
258,2024-09-01,1,2,2,80021.53
259,2024-09-01,1,2,1,95087.41
260,2024-09-01,1,2,2,67900.66
261,2024-09-01,1,1,2,86256.87
262,2024-09-01,4,1,2,74116.12
263,2024-09-01,4,1,1,38990.06
264,2024-09-01,2,1,1,34751.44
265,2024-10-01,3,2,2,50834.39
266,2024-10-01,4,1,1,86751.35
267,2024-10-01,2,2,2,89928.19
268,2024-10-01,4,2,2,45885.72
269,2024-10-01,1,2,2,38127.12
270,2024-10-01,3,2,1,71813.89
271,2024-10-01,4,1,1,84859.47
272,2024-10-01,1,2,1,77013.01
273,2024-11-01,3,1,1,62781.86
274,2024-11-01,3,1,2,41823.83
275,2024-11-01,4,1,2,64036.91
276,2024-11-01,3,1,1,23925.72
277,2024-11-01,4,1,1,41510.26
278,2024-11-01,3,1,2,61669.0
279,2024-11-01,4,1,2,12605.79
280,2024-11-01,3,2,2,41592.11
281,2024-12-01,2,1,2,16262.69
282,2024-12-01,1,1,1,43857.5
283,2024-12-01,4,2,1,43304.78
284,2024-12-01,3,1,1,24002.19
285,2024-12-01,1,1,2,49880.17
286,2024-12-01,4,2,2,47276.54
287,2024-12-01,2,1,2,48692.23
288,2024-12-01,3,2,2,14087.56
